title,date,category,link
Attorney General Hanaway Obtains Medicaid Fraud Conviction Against Couple Lying About Marital Status To Steal Funds,2026-02-03,State Enforcement Agencies,/fraud/enforcement/attorney-general-hanaway-obtains-medicaid-fraud-conviction-against-couple-lying-about-marital-status-to-steal-funds/
"AG's Office Secures Indictments Against Peabody Alcohol and Drug Counselor and Her Businesses for More Than $850,000 in MassHealth Fraud",2026-02-02,State Enforcement Agencies,/fraud/enforcement/ags-office-secures-indictments-against-peabody-alcohol-and-drug-counselor-and-her-businesses-for-more-than-850000-in-masshealth-fraud/
Attorney General Jeff Jackson Announces Health Care Fraud Conviction and Settlement,2026-01-30,State Enforcement Agencies,/fraud/enforcement/attorney-general-jeff-jackson-announces-health-care-fraud-conviction-and-settlement/
Attorney General Labrador Announces Sentencing of Kootenai County Woman for Public Assistance Provider Fraud,2026-01-29,State Enforcement Agencies,/fraud/enforcement/attorney-general-labrador-announces-sentencing-of-kootenai-county-woman-for-public-assistance-provider-fraud/
Attorney General Hanaway Obtains Medicaid Fraud Conviction For Services Not Provided,2026-01-29,State Enforcement Agencies,/fraud/enforcement/attorney-general-hanaway-obtains-medicaid-fraud-conviction-for-services-not-provided/
Attorney General James Uthmeier Announces Arrests in Central Florida Medicaid Fraud Scheme,2026-01-28,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-uthmeier-announces-arrests-in-central-florida-medicaid-fraud-scheme/
Attorney General Jeff Jackson Announces $8.8 Million Health Care Fraud Settlement,2026-01-27,State Enforcement Agencies,/fraud/enforcement/attorney-general-jeff-jackson-announces-88-million-health-care-fraud-settlement/
Attorney General Alan Wilson Announces Nurse Aide Charged With Assaulting Assisted Living Patient,2026-01-27,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-nurse-aide-charged-with-assaulting-assisted-living-patient/
Two Women Charged with Health Care Fraud for Allegedly Illegally Providing Medical Services,2026-01-26,State Enforcement Agencies,/fraud/enforcement/two-women-charged-with-health-care-fraud-for-allegedly-illegally-providing-medical-services/
TennCare Fraud Investigation Leads to Arrests of Three Former Memphis Caregivers,2026-01-26,State Enforcement Agencies,/fraud/enforcement/tenncare-fraud-investigation-leads-to-arrests-of-three-former-memphis-caregivers/
Attorney General Hanaway Secures Medicaid Fraud Conviction in St. Louis,2026-01-23,State Enforcement Agencies,/fraud/enforcement/attorney-general-hanaway-secures-medicaid-fraud-conviction-in-st-louis/
Former Saginaw Physician to Stand Trial on 23 Counts of Medicaid Fraud,2026-01-22,State Enforcement Agencies,/fraud/enforcement/former-saginaw-physician-to-stand-trial-on-23-counts-of-medicaid-fraud/
Attorney General Nessel Charges Former CEO of Oxford Recovery Center with Nine Counts of Health Care Fraud – False Claims,2026-01-20,State Enforcement Agencies,/fraud/enforcement/attorney-general-nessel-charges-former-ceo-of-oxford-recovery-center-with-nine-counts-of-health-care-fraud-false-claims/
AG Murrill's Medicaid Fraud Control Unit Secures Guilty Plea For Alexandria Man For Dragging A Victim Across A Hallway By His Wrist,2026-01-16,State Enforcement Agencies,/fraud/enforcement/ag-murrills-medicaid-fraud-control-unit-secures-guilty-plea-for-alexandria-man-for-dragging-a-victim-across-a-hallway-by-his-wrist/
"Former Memphis Caregiver Arrested, Charged with Abuse of Vulnerable Adult",2026-01-15,State Enforcement Agencies,/fraud/enforcement/former-memphis-caregiver-arrested-charged-with-abuse-of-vulnerable-adult/
Attorney General Jeff Jackson Announces $15.6 Million Health Care Conviction,2026-01-15,State Enforcement Agencies,/fraud/enforcement/attorney-general-jeff-jackson-announces-156-million-health-care-conviction/
